"","property_name","city_class","room_types","image_count","property_type","service_value","Accept_Rate","Response_time","amenities_cnt","description_cnt","rm_price","similar_hotel_cnt","Kids","Adults","room_type_cat","city_class_cat"
"639","Hotel JK Residency","Urban","Single AC",5,"3","0",0,0,3,95,2657,4,"2","1",17,4
"640","Rayirath Heritage","Urban","Single AC",5,"3","0",100,6,5,120,1467,2,"1","1",17,4
"641","Pearl Clubs Guest House","Metropolitan","Single Non AC",41,"4","0",100,6,3,152,976,10,"1","1",18,1
"642","Hotel Rijent","Urban","Double Non AC",0,"3","0",100,6,2,118,389,2,"2","2",15,4
"643","Radiant YMCA Tourist Hostel","Metropolitan","Single Non AC",19,"3","0",100,6,2,102,723,13,"1","1",18,1
"644","Westend Hotel Matheran","Rural","Double AC",2,"3","0",0,0,2,82,4807,2,"2","2",14,2
"645","Hotel HKJ Palace","Metropolitan","Single AC",43,"3","0",100,6,5,116,1667,12,"2","1",17,1
"646","Sreeraj Residency","Urban","Double AC",16,"3","0",100,6,5,114,1367,9,"2","2",14,4
"647","Durshet Forest Lodge","Urban","Cottage",2,"5","0",100,6,2,85,6500,2,"2","2",12,4
"648","Hotel Windsor","Metropolitan","Single AC",12,"3","0",100,6,2,146,2375,12,"2","1",17,1
"649","Hotel Jagadeeswari","Urban","Single Non AC",14,"3","0",100,6,4,118,700,3,"1","1",18,4
"650","Transit Bay","Urban","Single AC",9,"3","0",67,1,2,2,1055,2,"1","1",17,4
"651","Abad Whispering Palms Lake Resort","Metropolitan","Cottage",9,"6","0",100,6,2,144,4650,11,"2","2",12,1
"652","Hotel Vandana Palace","Metropolitan","Single Non AC",0,"3","0",100,6,8,2,679,2,"1","1",18,1
"653","The Hotel Swastik Inn","Metropolitan","Single Non AC",28,"3","0",0,0,2,102,836,9,"1","1",18,1
"654","Home Palace","Metropolitan","Double AC",38,"3","0",100,6,2,25,800,3,"2","2",14,1
"655","World Choice Orchid Premier Hotel","Metropolitan","Single Non AC",80,"3","0",100,6,2,2,3570,2,"2","1",18,1
"656","Hotel Malayoram Gateway","Metropolitan","Single AC",14,"3","0",100,6,2,116,2245,2,"1","1",17,1
"657","Anjanvel Agro Tourism","Semi-urban","Double Non AC",12,"3","1",100,6,2,74,1889,2,"2","2",15,3
"658","Asma Tower Hotel","Metropolitan","Single Non AC",6,"3","0",100,6,2,136,2924,6,"2","1",18,1
"659","Hotel Anand Residency","Urban","Double AC",0,"3","0",0,0,2,87,945,2,"2","2",14,4
"660","Amudhaalayam Service Apartment","Urban","Double Non AC",16,"1","0",0,0,5,2,1250,2,"2","2",15,4
"661","Khaleej Residency","Metropolitan","Double Non AC",3,"3","0",100,6,2,125,1000,7,"2","2",15,1
"662","Aditya Palace","Urban","Double Non AC",8,"3","0",100,6,6,106,800,11,"2","2",15,4
"663","Karnal Haveli","Urban","Double Non AC",74,"3","0",100,6,6,114,3114,2,"2","2",15,4
